Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
HV171083,02/24/2012 01:46:00 PM,038XX W JACKSON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,1133,28,01A,1150874,1898414,2012,41.877140857,-87.721499862,"(41.877140857, -87.721499862)"
HV171879,02/25/2012 01:30:00 AM,120XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0532,9,01A,1179740,1825236,2012,41.675719502,-87.617748779,"(41.675719502, -87.617748779)"
HV173613,02/26/2012 04:20:00 PM,116XX S ADA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0524,34,01A,1169419,1827671,2012,41.682630557,-87.655455714,"(41.682630557, -87.655455714)"
HV175292,02/27/2012 08:02:00 PM,003XX E 53RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,0234,3,01A,1179604,1869960,2012,41.798450614,-87.616883811,"(41.798450614, -87.616883811)"
HV176745,02/28/2012 09:54:00 PM,068XX S ROCKWELL ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0831,15,01A,1160222,1859105,2012,41.769084308,-87.688260239,"(41.769084308, -87.688260239)"
HV177424,02/29/2012 12:28:00 PM,014XX W 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0612,17,01A,1168287,1852366,2012,41.750421805,-87.658891391,"(41.750421805, -87.658891391)"
HV178038,02/29/2012 06:51:00 PM,005XX E 104TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0512,9,01A,1181956,1835794,2012,41.704641317,-87.609312999,"(41.704641317, -87.609312999)"
HV178492,03/01/2012 08:20:00 AM,102XX S CRANDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PUBLIC HIGH SCHOOL,true,false,0431,10,01A,1193510,1837599,2012,41.709320072,-87.566945747,"(41.709320072, -87.566945747)"
HV180021,03/02/2012 09:55:00 AM,118XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0524,34,01A,1172120,1826382,2012,41.679034586,-87.645606079,"(41.679034586, -87.645606079)"
HV180654,03/02/2012 05:05:00 PM,058XX W HURON ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1511,29,01A,1137360,1904050,2012,41.892860415,-87.770984454,"(41.892860415, -87.770984454)"
HV181039,03/02/2012 11:40:00 PM,002XX E 55TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0231,3,01A,1178668,1868272,2012,41.793839941,-87.620367621,"(41.793839941, -87.620367621)"
HV183140,03/04/2012 05:41:00 PM,022XX S WOOD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1034,25,01A,1164717,1889362,2012,41.852019321,-87.670928787,"(41.852019321, -87.670928787)"
HV184810,03/06/2012 12:08:00 AM,006XX W STRATFORD PL,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1925,44,01A,1171505,1923332,2012,41.945088611,-87.64501481,"(41.945088611, -87.64501481)"
HV185891,03/06/2012 06:40:00 PM,065XX S DREXEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0321,20,01A,1183349,1861897,2012,41.776238566,-87.603401333,"(41.776238566, -87.603401333)"
HV186233,03/06/2012 11:20:00 PM,030XX E 79TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0422,7,01A,1197903,1852841,2012,41.751036939,-87.550350636,"(41.751036939, -87.550350636)"
HV188763,03/08/2012 04:13:00 PM,026XX W LITHUANIAN PLAZA CT,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0831,15,01A,1160007,1858797,2012,41.768243533,-87.689056789,"(41.768243533, -87.689056789)"
HV190454,03/09/2012 06:35:00 PM,004XX N LOCKWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,1523,28,01A,1140962,1902368,2012,41.888179258,-87.757796948,"(41.888179258, -87.757796948)"
HV190926,03/10/2012 12:00:00 PM,016XX N SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1422,26,01A,1153893,1910685,2012,41.910754075,-87.710087618,"(41.910754075, -87.710087618)"
HV176540,03/10/2012 08:12:00 PM,055XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0231,20,01A,1178988,1868199,2012,41.793632334,-87.619196435,"(41.793632334, -87.619196435)"
HV193128,03/11/2012 08:47:00 PM,002XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1211,2,01A,1160442,1898890,2012,41.878254507,-87.68635566,"(41.878254507, -87.68635566)"
HV186143,03/12/2012 05:40:00 PM,042XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0213,3,01A,1178302,1877043,2012,41.81791667,-87.62144331,"(41.81791667, -87.62144331)"
HV194712,03/12/2012 08:40:00 PM,009XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0624,8,01A,1184073,1852826,2012,41.751329969,-87.601030331,"(41.751329969, -87.601030331)"
HV194936,03/12/2012 11:36:00 PM,023XX S DAMEN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1034,25,01A,1163399,1888665,2012,41.850134482,-87.675785789,"(41.850134482, -87.675785789)"
HV197452,03/14/2012 05:44:00 PM,085XX S KINGSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0423,7,01A,1194649,1848775,2012,41.739960146,-87.562408141,"(41.739960146, -87.562408141)"
HV197846,03/14/2012 10:31:00 PM,034XX W 64TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0823,15,01A,1154660,1861968,2012,41.777053483,-87.708571834,"(41.777053483, -87.708571834)"
HV197912,03/15/2012 02:57:00 AM,030XX S ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1032,22,01A,1153517,1884187,2012,41.838048222,-87.712173381,"(41.838048222, -87.712173381)"
HV201070,03/17/2012 12:15:00 AM,031XX W 53RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0923,14,01A,1156186,1869315,2012,41.79718415,-87.702779969,"(41.79718415, -87.702779969)"
HV202018,03/17/2012 03:35:00 PM,031XX S SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1031,22,01A,1150872,1883532,2012,41.836302897,-87.721896322,"(41.836302897, -87.721896322)"
HV202342,03/17/2012 07:52:00 PM,008XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0624,6,01A,1183041,1852803,2012,41.751290896,-87.60481278,"(41.751290896, -87.60481278)"
HV202304,03/17/2012 08:17:00 PM,059XX S FAIRFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0824,16,01A,1159059,1865175,2012,41.785765113,-87.692357431,"(41.785765113, -87.692357431)"
HV202301,03/17/2012 10:15:00 PM,005XX S DENVIR AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1135,2,01A,1159547,1897533,2012,41.874549237,-87.689679268,"(41.874549237, -87.689679268)"
HV202542,03/17/2012 10:19:00 PM,064XX S ELLIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0314,20,01A,1184161,1862588,2012,41.778115781,-87.600403043,"(41.778115781, -87.600403043)"
HV202736,03/18/2012 02:16:00 AM,075XX S WOLCOTT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0611,18,01A,1164993,1854740,2012,41.757006621,-87.670895174,"(41.757006621, -87.670895174)"
HV202767,03/18/2012 03:05:00 AM,014XX W 53RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0934,16,01A,1167756,1869603,2012,41.797733729,-87.660342934,"(41.797733729, -87.660342934)"
HV200885,03/18/2012 03:15:00 PM,063XX N OAKLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2413,50,01A,1159828,1942126,2012,41.99690953,-87.687413995,"(41.99690953, -87.687413995)"
HV203964,03/18/2012 10:50:00 PM,013XX N HARDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,2535,30,01A,1149797,1908887,2012,41.905900873,-87.725181777,"(41.905900873, -87.725181777)"
HV204101,03/19/2012 06:08:00 AM,025XX W LEXINGTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1135,2,01A,1159550,1896616,2012,41.87203284,-87.6896935,"(41.87203284, -87.6896935)"
HV203582,03/19/2012 09:35:00 AM,035XX W LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1712,39,01A,1151759,1931662,2012,41.968358893,-87.717373489,"(41.968358893, -87.717373489)"
HV206735,03/20/2012 06:20:00 PM,015XX W 91ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2221,21,01A,1167464,1844381,2012,41.728527475,-87.66213546,"(41.728527475, -87.66213546)"
HV207478,03/21/2012 08:36:00 AM,007XX W 61ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0711,16,01A,1172440,1864420,2012,41.783409097,-87.643318555,"(41.783409097, -87.643318555)"
HV207595,03/21/2012 10:06:00 AM,016XX W 72ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0735,17,01A,1166808,1856969,2012,41.763084756,-87.664179939,"(41.763084756, -87.664179939)"
HV207916,03/21/2012 01:48:00 PM,028XX S KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1031,22,01A,1148183,1884840,2012,41.839944326,-87.731729746,"(41.839944326, -87.731729746)"
HV210050,03/22/2012 07:28:00 PM,055XX S BISHOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0713,16,01A,1167612,1867923,2012,41.793126705,-87.660919195,"(41.793126705, -87.660919195)"
HV210902,03/23/2012 12:12:00 PM,081XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0614,18,01A,1166425,1850796,2012,41.746153351,-87.665759266,"(41.746153351, -87.665759266)"
HV211600,03/23/2012 06:32:00 PM,005XX W 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0621,17,01A,1174097,1855184,2012,41.758027797,-87.637517408,"(41.758027797, -87.637517408)"
HV213173,03/24/2012 08:46:00 PM,133XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,true,false,0533,9,01A,1179952,1816692,2012,41.652268611,-87.617232658,"(41.652268611, -87.617232658)"
HV213223,03/24/2012 10:27:00 PM,062XX S HONORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0714,15,01A,1165093,1863201,2012,41.780222635,-87.670289648,"(41.780222635, -87.670289648)"
HV213752,03/25/2012 09:58:00 AM,042XX W CORTLAND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2534,30,01A,1147964,1912291,2012,41.915277252,-87.731827415,"(41.915277252, -87.731827415)"
HV214020,03/25/2012 04:42:00 PM,022XX N LAVERGNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2522,31,01A,1142689,1914530,2012,41.921521189,-87.751151608,"(41.921521189, -87.751151608)"
HV213410,03/25/2012 09:20:00 PM,059XX S HALSTED ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0712,16,01A,1171984,1865568,2012,41.786569368,-87.644956704,"(41.786569368, -87.644956704)"
HV215318,03/26/2012 02:38:00 PM,014XX W 73RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,0734,17,01A,1167680,1856330,2012,41.761312596,-87.661002202,"(41.761312596, -87.661002202)"
HV217229,03/27/2012 07:51:00 PM,014XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0324,5,01A,1187031,1855548,2012,41.758729795,-87.590104677,"(41.758729795, -87.590104677)"
HV217424,03/27/2012 09:58:00 PM,063XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0312,20,01A,1182310,1863074,2012,41.779492501,-87.607173759,"(41.779492501, -87.607173759)"
HV217424,03/27/2012 10:57:00 PM,063XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0312,20,01A,1182310,1863074,2012,41.779492501,-87.607173759,"(41.779492501, -87.607173759)"
